search_term,status,status_no_spaces,n_youtube_videos,n_youtube_channels,n_youtube_videos_no_spaces,n_youtube_channels_no_spaces,background_info_link
14 words,Full,,61142590.0,240367.0,,,https://www.adl.org/education/references/hate-symbols/14-words
2083: a european declaration of independence,Full,,32.0,0.0,,,https://www.splcenter.org/hatewatch/2011/07/24/oslo-shooter-frightening-reminder-radical-right-terrorist-threat
alt-lite,Full,,15269138.0,150.0,,,https://www.adl.org/resources/backgrounders/from-alt-right-to-alt-lite-naming-the-hate
alt-right,Full,,15276072.0,21880.0,,,https://www.adl.org/resources/backgrounders/from-alt-right-to-alt-lite-naming-the-hate
american front,Full,,67677338.0,83682.0,,,https://www.adl.org/education/references/hate-symbols/american-front
american identity movement,Full,,10575870.0,40.0,,,https://www.splcenter.org/fighting-hate/extremist-files/group/identity-evropaamerican-identity-movement
american renaissance,Full,,4315733.0,146.0,,,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi
american vanguard,Full,,1823713.0,49.0,,,https://www.splcenter.org/hatewatch/2017/12/11/meet-patriot-front-neo-nazi-network-aims-blur-lines-militiamen-alt-right
amerimutt,Full,,93.0,0.0,,,https://knowyourmeme.com/memes/amerimutt-le-56-face
black sun,Full,,99052454.0,256751.0,,,https://www.adl.org/education/references/hate-symbols/sonnenrad
blood and soil,Full,,5775386.0,58.0,,,https://www.adl.org/resources/backgrounders/vanguard-america
boogaloo,Full,,1239820.0,384.0,,,https://www.splcenter.org/hatewatch/2020/06/05/boogaloo-started-racist-meme
civilization jihad,Full,,79645.0,5.0,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/frank-gaffney-jr
color of crime,Full,,24325840.0,222.0,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/jared-taylor
council of conservative citizens,Full,,608181.0,6.0,,,https://www.adl.org/news/article/the-council-of-conservative-citizens-declining-bastion-of-hate
cultural marxism,Full,,228421.0,38.0,,,https://www.splcenter.org/fighting-hate/intelligence-report/2003/cultural-marxism-catching
daily shoah,Full,,11085.0,8.0,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/michael-enoch-peinovich
daily stormer,Full,,90709.0,3.0,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/andrew-anglin
diversity is a code word for anti-white,Full,,271260.0,5.0,,,https://www.adl.org/education/references/hate-symbols/diversity-white-genocide
ecofascism,Full,,1075.0,4.0,,,https://www.cjr.org/special_report/ecofascists.php
ethnic cleansing,Full,,969776.0,16.0,,,https://www.splcenter.org/fighting-hate/intelligence-report/2002/games-extremists-play
ethnonationalism,Full,,5265.0,1.0,,,https://www.splcenter.org/fighting-hate/extremist-files/ideology/alt-right
ethnostate,Full,,6641.0,7.0,,,https://www.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist
great replacement,Full,,15006360.0,461.0,,,https://www.isdglobal.org/wp-content/uploads/2019/07/The-Great-Replacement-The-Violent-Consequences-of-Mainstreamed-Extremism-by-ISD.pdf
hammerskin,Full,,5806.0,1.0,,,https://www.adl.org/education/references/hate-symbols/hammerskins
identitarianism,Full,,378.0,3.0,,,https://www.newsweek.com/identitarian-movement-extremist-far-right-germany-1448710
identity evropa,Full,,1466.0,2.0,,,https://www.splcenter.org/fighting-hate/extremist-files/group/identity-evropaamerican-identity-movement
it's okay to be white,Full,,118249642.0,417519.0,,,https://www.adl.org/education/references/hate-symbols/its-okay-to-be-white
league of the south,Full,,52684166.0,37727.0,,,https://www.splcenter.org/fighting-hate/extremist-files/group/league-south
lgbtp,Full,,602.0,0.0,,,https://www.advocate.com/news/2020/7/30/lgbtq-leaders-denounce-images-proclaiming-association-pedophiles
national socialism,Full,,998910.0,71.0,,,https://www.adl.org/resources/backgrounders/national-socialist-movement
open borders for israel,Full,,2031334.0,70.0,,,https://www.newyorker.com/news/news-desk/twitters-anti-semitism-problem
proud boys,Full,,19558202.0,578.0,,,https://www.splcenter.org/fighting-hate/extremist-files/group/proud-boys
race and iq,Full,,5628308.0,339.0,,,https://www.theguardian.com/news/2018/mar/02/the-unwelcome-revival-of-race-science
race realism,Full,,1126670.0,25.0,,,https://washingtonmonthly.com/2018/03/26/race-realism-and-the-election-of-donald-trump/
race war,Full,,75092139.0,125776.0,,,https://www.splcenter.org/news/2020/10/23/quantifying-race-war-america
racial holy war,Full,,2063001.0,7.0,,,https://www.adl.org/education/references/hate-symbols/rahowa
red ice tv,Full,,93482132.0,326308.0,,,https://www.splcenter.org/hatewatch/2019/10/21/youtube-takes-down-red-ices-main-channel
right wing death squads,Full,,8793211.0,34.0,,,https://www.splcenter.org/hatewatch/2018/04/19/day-trope-white-nationalist-memes-thrive-reddits-rthedonald
send them back,Full,,43013374.0,108063.0,,,https://jewishweek.timesofisrael.com/what-send-them-back-means-to-jews/
shitskins,Full,,132.0,0.0,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/craig-cobb
sonnenrad,Full,,3447.0,2.0,,,https://www.adl.org/education/references/hate-symbols/sonnenrad
southern nationalist,Full,,404103.0,7.0,,,https://www.splcenter.org/fighting-hate/extremist-files/group/league-south
swastika,Full,,530052.0,146.0,,,https://www.adl.org/education/references/hate-symbols/swastika
traditionalist worker party,Full,,2153.0,0.0,,,https://www.adl.org/resources/backgrounders/traditionalist-worker-party-twp
unite the right,Full,,5726030.0,175.0,,,https://www.splcenter.org/unite-the-right
vdare,Full,,299.0,0.0,,,https://www.splcenter.org/fighting-hate/extremist-files/group/vdare
war on whites,Full,,1600403.0,31.0,,,https://www.washingtonpost.com/news/wonk/wp/2017/08/14/the-war-on-whites-is-a-myth-and-an-ugly-one/
we wuz kangz,Full,,5330.0,2.0,,,https://knowyourmeme.com/memes/we-wuz-kings
white civil rights,Full,,22368929.0,86.0,,,https://www.npr.org/2018/06/21/622144455/white-civil-rights-rally-approved-for-d-c-in-august
white ethnostate,Full,,4032.0,2.0,,,https://www.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist
white lives matter,Full,,33238185.0,3885.0,,,https://www.splcenter.org/fighting-hate/extremist-files/group/white-lives-matter
white nationalism,Full,,755910.0,41.0,,,https://www.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist
white power,Full,,169420977.0,377159.0,,,https://www.adl.org/education/references/hate-symbols/white-power-hand-sign
white separatism,Full,,29378.0,0.0,,,https://www.adl.org/resources/glossary-terms/white-separatism
white sharia,Full,,383290.0,14.0,,,https://www.splcenter.org/hatewatch/2017/11/27/white-sharia-and-militant-white-nationalism
you will not replace us,Full,,17239492.0,480.0,,,https://www.splcenter.org/hatewatch/2017/10/10/when-white-nationalists-chant-their-weird-slogans-what-do-they-mean
zionist occupation government,Full,,63399.0,0.0,,,https://www.adl.org/education/references/hate-symbols/zog
dual seedline,Blocked,Full,,,31.0,0.0,https://www.adl.org/resources/backgrounders/christian-identity
globalist jews,Blocked,Full,,,6.0,0.0,https://www.haaretz.com/us-news/.premium-how-did-the-term-globalist-became-an-anti-semitic-slur-blame-bannon-1.5895925
heil hitler,Blocked,Full,,,32571.0,3.0,https://www.adl.org/education/references/hate-symbols/hitler-salute-hand-sign
jewish question,Blocked,Full,,,10375.0,2.0,https://encyclopedia.ushmm.org/content/en/article/the-jewish-question
radical islamic terror,Blocked,Full,,,1746.0,0.0,http://csps.gmu.edu/2020/12/01/why-does-the-west-remain-so-obsessed-with-radical-islam/
sieg heil,Blocked,Full,,,32586.0,4.0,https://www.adl.org/education/references/hate-symbols/sieg-heil
white genocide,Blocked,Full,,,22245.0,13.0,https://www.adl.org/resources/glossary-terms/white-genocide
white nationalist,Blocked,Full,,,59520.0,13.0,https://www.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist
white pill,Blocked,Full,,,9423.0,10.0,https://www.adl.org/blog/the-extremist-medicine-cabinet-a-guide-to-online-pills
white pride,Blocked,Full,,,19044.0,1.0,https://www.adl.org/resources/glossary-terms/white-pride
gas the kikes race war now,Blocked,Empty,,,0.0,0.0,https://psmag.com/ideas/neo-nazi-hate-speech-foiling-algorithms
aryan nation,Blocked,Partial Block,,,1.0,2.0,https://www.adl.org/education/resources/profiles/aryan-nations
gas the kikes,Blocked,Partial Block,,,1.0,0.0,https://www.thedailybeast.com/youtube-wont-ban-neo-nazi-group-chanting-gas-the-kkes-race-war-now
two seedline,Blocked,Partial Block,,,1.0,0.0,https://www.splcenter.org/fighting-hate/intelligence-report/2008/branson-televangelist-arnold-murray-preaches-christian-identity-theology
american nazi party,Blocked,Blocked,,,,,https://www.splcenter.org/fighting-hate/intelligence-report/2015/active-neo-nazi-groups
holocaust denial,Blocked,Blocked,,,,,https://www.splcenter.org/fighting-hate/extremist-files/ideology/holocaust-denial
white pride worldwide,Blocked,Blocked,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/stormfront
dindu,Blocked,,,,,,https://www.vice.com/en/article/ezagwm/get-to-know-the-memes-of-the-alt-right-and-never-miss-a-dog-whistle-again
goy,Blocked,,,,,,https://www.adl.org/education/references/hate-symbols/the-goyim-knowshut-it-down
holohoax,Blocked,,,,,,https://www.isdglobal.org/isd-publications/hosting-the-holohoax-a-snapshot-of-holocaust-denial-across-social-media/
kike,Blocked,,,,,,https://blog.oup.com/2009/10/ethnic-slurs-kike/
kkk,Blocked,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan
nazi,Blocked,,,,,,https://www.adl.org/resources/glossary-terms/neo-nazis
neo-confederate,Blocked,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-confederate
neo-nazi,Blocked,,,,,,https://www.adl.org/resources/glossary-terms/neo-nazis
nigger,Blocked,,,,,,https://www.washingtonpost.com/wp-srv/style/longterm/books/chap1/nigger.htm
stormfront,Blocked,,,,,,https://www.adl.org/education/references/hate-symbols/stormfront
wetback,Blocked,,,,,,https://www.buzzfeednews.com/article/andrewkaczynski/white-supremacists-are-thrilled-donald-trump-mentioned-opera
